Date,Pressure_ds,Pressure_us,Minimum_Temp,Maximum_Temp,Average_Temp,Temp_range,Rainfall,meterleak_count,pipeleak_count,valveleak_count,waterleak_count,total_leak_count
2018-07-01,317,420,12,25,15,13,0,0,0,0,0,0
2018-07-02,323,426,17,29,20,11,0,0,0,0,0,0
2018-07-03,326,434,10,21,19,11,0,0,0,0,0,0
2018-07-04,314,420,8,22,11,15,0,0,0,0,0,0
2018-07-05,334,468,10,22,13,13,1,1,0,0,0,1
2018-07-06,315,473,12,21,15,9,1,0,0,0,0,0
2018-07-07,330,464,13,22,14,10,1,0,0,0,0,0
2018-07-08,332,491,14,23,15,9,2,0,0,0,0,0
2018-07-09,318,421,14,23,17,9,0,0,0,0,0,0
2018-07-10,298,380,15,27,16,12,0,1,0,0,0,1
2018-07-11,307,409,13,25,14,13,0,1,0,1,1,3
2018-07-12,328,465,17,25,19,8,0,0,2,0,2,4
2018-07-13,338,528,16,26,18,10,0,0,1,0,0,1
2018-07-14,348,533,14,20,20,6,4,0,1,0,0,1
2018-07-15,343,534,13,17,13,5,6,3,0,0,0,3
2018-07-16,339,530,12,19,15,7,0,0,0,0,0,0
2018-07-17,323,481,12,21,13,9,0,0,0,0,0,0
2018-07-18,322,424,11,22,13,11,0,0,0,0,0,0
2018-07-19,327,423,10,23,13,13,0,1,0,0,0,1
2018-07-20,328,432,12,24,14,12,0,0,1,0,0,1
2018-07-21,314,426,14,25,16,10,0,0,0,0,0,0
2018-07-22,329,473,15,25,17,10,0,1,0,0,0,1
2018-07-23,339,489,15,26,17,11,0,1,0,0,1,2
2018-07-24,328,429,17,27,18,10,0,0,0,0,1,1
2018-07-25,332,435,14,27,16,13,0,1,0,0,1,2
2018-07-26,341,460,10,24,14,14,0,1,0,0,0,1
2018-07-27,336,488,15,26,17,11,0,0,0,0,0,0
2018-07-28,306,403,15,23,20,8,0,0,1,0,0,1
2018-07-29,303,402,15,27,16,13,0,0,0,0,0,0
2018-07-30,335,425,14,22,18,8,0,1,0,0,0,1
2018-07-31,317,412,12,25,14,12,0,0,0,0,0,0
2018-08-01,324,423,17,23,19,7,0,0,0,0,0,0
2018-08-02,330,430,16,22,18,6,0,0,0,0,0,0
2018-08-03,328,425,15,19,17,4,0,2,0,0,0,2
2018-08-04,309,416,16,25,17,9,0,1,0,0,0,1
2018-08-05,322,422,17,22,19,5,0,0,0,0,0,0
2018-08-06,332,435,14,22,18,9,0,1,0,0,1,2
2018-08-07,324,423,15,24,17,8,0,1,0,0,0,1
2018-08-08,330,432,15,19,17,4,0,0,0,0,0,0
2018-08-09,323,439,14,15,15,2,10,0,0,0,0,0
2018-08-10,323,433,14,20,16,6,0,0,0,0,0,0
2018-08-11,311,420,10,21,15,10,0,1,1,0,0,2
2018-08-12,309,422,11,27,17,16,0,0,0,0,0,0
2018-08-13,329,430,12,29,19,17,0,0,0,0,0,0
2018-08-14,341,474,13,23,16,10,0,0,0,0,0,0
2018-08-15,320,470,15,28,17,13,0,0,0,0,0,0
2018-08-16,328,430,18,24,19,6,0,1,0,0,0,1
2018-08-17,319,418,15,22,19,7,42,0,0,0,1,1
2018-08-18,323,479,12,16,12,4,8,0,0,0,0,0
2018-08-19,319,482,12,25,15,13,0,0,0,0,0,0
2018-08-20,334,474,12,27,17,15,0,0,0,0,1,1
2018-08-21,331,478,17,23,19,6,0,0,0,0,0,0
2018-08-22,324,424,17,25,19,8,0,0,1,0,1,2
2018-08-23,322,419,18,22,20,3,1,0,0,0,0,0
2018-08-24,327,426,16,24,18,7,0,0,0,0,0,0
2018-08-25,308,397,18,28,21,10,0,0,0,0,0,0
2018-08-26,305,425,19,32,21,13,4,2,2,0,0,4
2018-08-27,337,504,14,21,15,6,0,3,0,0,0,3
2018-08-28,321,465,11,24,16,13,0,0,0,0,0,0
2018-08-29,322,419,9,25,15,16,0,0,0,0,0,0
2018-08-30,317,414,17,28,19,11,0,0,0,0,0,0
2018-08-31,322,419,18,28,20,10,0,0,0,0,0,0
2018-09-01,307,414,17,25,20,9,0,0,1,0,1,2
2018-09-02,299,411,16,31,18,16,1,1,0,0,0,1
2018-09-03,313,399,15,24,20,10,0,0,0,0,0,0
2018-09-04,310,401,13,28,19,15,0,0,0,0,0,0
2018-09-05,303,391,18,33,20,15,0,0,0,0,1,1
2018-09-06,306,392,18,25,21,6,0,0,0,0,0,0
2018-09-07,298,451,18,24,18,6,6,0,1,0,0,1
2018-09-08,321,519,14,19,18,5,15,2,0,0,1,3
2018-09-09,329,513,13,20,16,7,13,0,0,0,0,0
2018-09-10,338,518,12,21,13,9,2,0,0,0,0,0
2018-09-11,326,525,10,26,16,16,0,0,0,0,0,0
2018-09-12,320,466,17,31,20,14,0,0,0,0,0,0
2018-09-13,304,412,15,25,21,9,0,0,0,0,0,0
2018-09-14,316,479,14,25,21,11,0,0,2,0,1,3
2018-09-15,318,484,14,24,19,10,0,0,0,0,0,0
2018-09-16,313,487,18,24,20,7,0,0,1,0,0,1
